date,year,month,day,market,category,price,price_filled,fill_method
2009-01-02,2009,1,2,Varanasi (CC),PREVAILING,212.0,212.0,observed
2009-01-03,2009,1,3,Ahmedabad,NECC,208.0,208.0,observed
2009-01-03,2009,1,3,Ajmer,NECC,216.0,216.0,observed
2009-01-03,2009,1,3,Asansole,NECC,NA,500.0,next_price
2009-01-03,2009,1,3,Barwala,NECC,NA,168.0,next_price
2009-01-03,2009,1,3,Bengaluru (CC),NECC,197.0,197.0,observed
2009-01-03,2009,1,3,Brahmapur (OD),NECC,NA,305.0,next_price
2009-01-03,2009,1,3,Burdwan (CC),NECC,NA,504.0,next_price
2009-01-03,2009,1,3,Chennai (CC),NECC,203.0,203.0,observed
2009-01-03,2009,1,3,Chittoor,NECC,196.0,196.0,observed
2009-01-03,2009,1,3,Delhi (CC),NECC,220.0,220.0,observed
2009-01-03,2009,1,3,E.Godavari,NECC,NA,211.0,next_price
2009-01-03,2009,1,3,Hospet,NECC,NA,165.0,next_price
2009-01-03,2009,1,3,Hyderabad,NECC,190.0,190.0,observed
2009-01-03,2009,1,3,Jabalpur,NECC,NA,550.0,next_price
2009-01-03,2009,1,3,Kolkata (WB),NECC,213.0,213.0,observed
2009-01-03,2009,1,3,Ludhiana,NECC,NA,168.0,next_price
2009-01-03,2009,1,3,Midnapur (KOL),NECC,NA,504.0,next_price
2009-01-03,2009,1,3,Mumbai (CC),NECC,212.0,212.0,observed
2009-01-03,2009,1,3,Mysuru,NECC,200.0,200.0,observed
2009-01-03,2009,1,3,Namakkal,NECC,200.0,200.0,observed
2009-01-03,2009,1,3,Pune,NECC,NA,168.0,next_price
2009-01-03,2009,1,3,Raipur,NECC,NA,180.0,next_price
2009-01-03,2009,1,3,Surat,NECC,NA,445.0,next_price
2009-01-03,2009,1,3,Vijayawada,NECC,188.0,188.0,observed
2009-01-03,2009,1,3,Vizag,NECC,200.0,200.0,observed
2009-01-03,2009,1,3,W.Godavari,NECC,188.0,188.0,observed
2009-01-03,2009,1,3,Warangal,NECC,191.0,191.0,observed
2009-01-03,2009,1,3,Allahabad (CC),PREVAILING,NA,198.0,next_price
2009-01-03,2009,1,3,Bhopal,PREVAILING,NA,180.0,next_price
2009-01-03,2009,1,3,Indore (CC),PREVAILING,210.0,210.0,observed
2009-01-03,2009,1,3,Jabalpur,PREVAILING,205.0,205.0,observed
2009-01-03,2009,1,3,Kanpur (CC),PREVAILING,NA,200.0,next_price
2009-01-03,2009,1,3,Luknow (CC),PREVAILING,214.0,214.0,observed
2009-01-03,2009,1,3,Muzaffurpur (CC),PREVAILING,NA,490.0,next_price
2009-01-03,2009,1,3,Nagpur,PREVAILING,204.0,204.0,observed
2009-01-03,2009,1,3,Patna,PREVAILING,NA,486.0,next_price
2009-01-03,2009,1,3,Ranchi  (CC),PREVAILING,NA,500.0,next_price
2009-01-03,2009,1,3,Varanasi (CC),PREVAILING,214.0,214.0,observed
2009-01-04,2009,1,4,Ahmedabad,NECC,210.0,210.0,observed
2009-01-04,2009,1,4,Ajmer,NECC,230.0,230.0,observed
2009-01-04,2009,1,4,Asansole,NECC,NA,500.0,next_price
2009-01-04,2009,1,4,Barwala,NECC,NA,168.0,next_price
2009-01-04,2009,1,4,Bengaluru (CC),NECC,198.0,198.0,observed
2009-01-04,2009,1,4,Brahmapur (OD),NECC,NA,305.0,next_price
2009-01-04,2009,1,4,Burdwan (CC),NECC,NA,504.0,next_price
2009-01-04,2009,1,4,Chennai (CC),NECC,203.0,203.0,observed
2009-01-04,2009,1,4,Chittoor,NECC,196.0,196.0,observed
2009-01-04,2009,1,4,Delhi (CC),NECC,234.0,234.0,observed
2009-01-04,2009,1,4,E.Godavari,NECC,NA,211.0,next_price
2009-01-04,2009,1,4,Hospet,NECC,NA,165.0,next_price
